sample_name,consensus_cluster,reference_cluster,reference_color,broad_class,subclass,merged_cluster_smFISH,merged_cluster_ISS
LS-15369_S59_E1-50,cl12_i155_Crabp1_Sncg,Sncg Crispld2 ,#7A0099,Inh,Sncg,Sncg_2,Sncg Ptprk
LS-15369_S60_E1-50,cl138_i41_Has2_Lamp5,Lamp5 Pdlim5,#FF7290,Inh,Lamp5,Lamp5_2,Lamp5 Pdlim5
LS-15369_S62_E1-50,cl72_i68_Bach2_Lamp5,Lamp5 Pdlim5,#FF7290,Inh,Lamp5,Lamp5_2,Lamp5 Pdlim5
LS-15369_S63_E1-50,cl3_i309_Cpne6_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-15369_S64_E1-50,cl50_i90_Agt_Lamp5,Lamp5 Egln3_2,#E67B73,Inh,Lamp5,Lamp5_1,Lamp5 Egln3_a
LS-15369_S65_E1-50,cl48_e91_Csgalnact1_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15369_S66_E1-50,cl48_e91_Csgalnact1_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15369_S67_E1-50,cl209_e22_Nphs1_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15369_S68_E1-50,cl167_e33_Efcc1_L6_CT,VISp L6 CT Ptprt,#578EBF,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15369_S69_E1-50,cl8_e168_Adam8_L6_IT,VISp L6 IT Col23a1,#C2E32C,Ex,L6 IT,L6 IT_1,VISp L6 IT Col23a1
LS-15369_S70_E1-50,cl101_e53_Zmiz1os1_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15369_S71_E1-50,cl48_e91_Csgalnact1_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15369_S73_E1-50,cl167_e33_Efcc1_L6_CT,VISp L6 CT Ptprt,#578EBF,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15369_S75_E1-50,cl61_e77_Mir221_L6_IT,VISp L6 IT Col23a1,#C2E32C,Ex,L6 IT,L6 IT_1,VISp L6 IT Col23a1
LS-15369_S76_E1-50,cl126_e44_Traf5_L6_CT,VISp L6 CT Dlx4,#74CAFF,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15369_S78_E1-50,cl46_e95_Npc1l1_L5_IT,VISp L5 IT Pld5,#26BF64,Ex,L5 IT,L5 IT,VISp L5 IT Pld5
LS-15369_S80_E1-50,cl8_e168_Adam8_L6_IT,VISp L6 IT Col23a1,#C2E32C,Ex,L6 IT,L6 IT_1,VISp L6 IT Col23a1
LS-15369_S81_E1-50,cl27_e121_Gadd45a_L6_CT,VISp L6 CT Dlx4,#74CAFF,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15369_S83_E1-50,cl126_e44_Traf5_L6_CT,VISp L6 CT Dlx4,#74CAFF,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15369_S84_E1-50,cl61_e77_Mir221_L6_IT,VISp L6 IT Col23a1,#C2E32C,Ex,L6 IT,L6 IT_1,VISp L6 IT Col23a1
LS-15369_S85_E1-50,cl48_e91_Csgalnact1_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15369_S86_E1-50,cl48_e91_Csgalnact1_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15369_S87_E1-50,cl8_e168_Adam8_L6_IT,VISp L6 IT Col23a1,#C2E32C,Ex,L6 IT,L6 IT_1,VISp L6 IT Col23a1
LS-15369_S88_E1-50,cl61_e77_Mir221_L6_IT,VISp L6 IT Col23a1,#C2E32C,Ex,L6 IT,L6 IT_1,VISp L6 IT Col23a1
LS-15369_S89_E1-50,cl187_e26_Teddm2_L6_CT,VISp L6 CT Ctxn3,#69A8E6,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15369_S91_E1-50,cl126_e44_Traf5_L6_CT,VISp L6 CT Dlx4,#74CAFF,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15369_S94_E1-50,cl143_e38_Tmem136_L6_IT,VISp L6 IT Col23a1,#C2E32C,Ex,L6 IT,L6 IT_1,VISp L6 IT Col23a1
LS-15369_S95_E1-50,cl162_e33_Gpr52_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15369_S96_E1-50,cl81_e63_Msl2_L6_IT,VISp L6 IT Cd52,#A19922,Ex,L6 IT,L6 IT_1,VISp L6 IT Cd52
LS-15370_S17_E1-50,cl178_i30_Sesn3_Lamp5,Lamp5 Pdlim5,#FF7290,Inh,Lamp5,Lamp5_2,Lamp5 Pdlim5
LS-15370_S18_E1-50,cl52_i88_TrnI_Pvalb,Pvalb Vipr2,#FF197F,Inh,Pvalb,Pvalb_1,Pvalb Vipr2
LS-15370_S21_E1-50,cl178_i30_Sesn3_Lamp5,Lamp5 Pdlim5,#FF7290,Inh,Lamp5,Lamp5_2,Lamp5 Pdlim5
LS-15370_S25_E1-50,cl184_n28_Pf4_Macrophage,PVM Mrc1,#4C6647,Glia,Macrophage,Macrophage,PVM Mrc1
LS-15370_S27_E1-50,cl184_n28_Pf4_Macrophage,PVM Mrc1,#4C6647,Glia,Macrophage,Macrophage,PVM Mrc1
LS-15370_S29_E1-50,cl158_i35_Cyp2s1_Sst,Sst Myh8_3,#FFB307,Inh,Sst,Sst_3,Sst Tac2
LS-15370_S30_E1-50,cl23_i132_Myh13_Sst,Sst Myh8_2,#FF9F2C,Inh,Sst,Sst_2,Sst Myh8_a
LS-15370_S31_E1-50,cl12_i155_Crabp1_Sncg,Sncg Ptprk,#9900B3,Inh,Sncg,Sncg_2,Sncg Ptprk
LS-15370_S32_E1-50,cl3_i309_Cpne6_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-15370_S33_E1-50,cl50_i90_Agt_Lamp5,Lamp5 Egln3_2,#E67B73,Inh,Lamp5,Lamp5_1,Lamp5 Egln3_a
