sample_name,x,y,rmax,subclass,broad_class,x_um,y_um,layer
3294,10191.8883933313,15809.6320252782,0.100948499446354,L4,Ex,2252.6855688011146,6252.27833232499,L4_polygon_uncut
3297,11137.7225302323,3764.23333637276,0.16939912141762,L6b,Ex,2354.646488759042,4953.7843536609835,VISp
3299,8777.888939455379,7077.36679855427,0.137129857797092,L6b,Ex,2100.25642767329,5310.94014088415,L6b_polygon_uncut
3300,7130.3297618658,14025.3960083674,0.0944128778487377,L5 IT,Ex,1922.6495483291333,6059.937689702006,L5_polygon_uncut
3301,6502.01825647696,11971.8530733716,0.0678922181382427,L6 PT,Ex,1854.9175680482163,5838.565761309459,L6a_polygon_uncut
3302,8241.79204164977,14613.3272743947,0.0880432425411725,L5 NP,Ex,2042.4651820898453,6123.316680179749,L5_polygon_uncut
3305,7742.82433919187,12643.2957680509,0.0857829018037151,L5 NP,Ex,1988.6764637648837,5910.947283795887,L6a_polygon_uncut
3306,7044.26924044668,11791.392914881299,0.045903116763674,L6 IT,Ex,1913.3722241201522,5819.112156224204,L6a_polygon_uncut
3307,7002.685340160479,12688.173851213798,0.0619622212680085,L6 PT,Ex,1908.8894796692998,5915.785141160848,L6a_polygon_uncut
3308,15659.7662373737,10203.3464957725,0.0535255710722219,L2/3 IT,Ex,2842.122800388885,5647.920752244276,L2/3
3312,16778.0210263872,9454.65746305163,0.0533281409229372,L2/3 IT,Ex,2962.6706666445402,5567.212074516966,L2/3
3313,10118.0296976145,14949.404796815801,0.0591648773367639,L4,Ex,2244.723601402843,6159.5458370967435,L4_polygon_uncut
3314,12605.361249801299,11017.1972844882,0.0475434851328347,L4,Ex,2512.8579427285804,5735.653867267828,L4_polygon_uncut
3315,10995.8107053859,12650.2320166472,0.0451041297783163,Sst,Inh,2339.3483940406004,5911.695011394568,L5_polygon_uncut
3316,8997.50762936601,14258.084290916398,0.11445428615215,L5 PT,Ex,2123.931322445656,6085.021486560788,L5_polygon_uncut
3318,12004.7549779585,6607.01160519297,0.067969063905695,L6 IT,Ex,2448.1125866239263,5260.235851039803,L5_polygon_uncut
3319,8278.894679367779,10084.243691276899,0.120094276583961,L6 PT,Ex,2046.4648464358465,5635.08146991965,L6a_polygon_uncut
3320,12684.4171162696,13512.0778645473,0.10412023848518,L4,Ex,2521.380165133863,6004.601993798199,L4_polygon_uncut
3321,11024.1438350069,7003.63702751475,0.0912217313186852,L6 PT,Ex,2342.402705413744,5302.99207156609,L6a_polygon_uncut
3322,7165.70233285989,7097.48289334632,0.34762019725492405,Endo,Endo,1926.462711482296,5313.1086559027335,VISp_wm
3323,16999.3516599506,9985.09525907404,0.0868602630902377,L2/3 IT,Ex,2986.530108942675,5624.393268928182,L2/3
3325,10371.1770349964,6074.38287216366,0.0696361169166561,L6 PT,Ex,2272.012884372612,5202.8184736192425,L6a_polygon_uncut
3326,8149.88094858718,6012.30985209615,0.132298287343419,Sst,Inh,2032.557166257698,5196.127002055965,VISp_wm
3330,17898.7679375525,8887.45531629826,0.10189541256033101,L2/3 IT,Ex,3083.4871836681596,5506.067683096952,L2/3
3331,13997.3723449779,6403.229806170551,0.185655606792407,L5 PT,Ex,2662.9167387886177,5238.268173105185,L5_polygon_uncut
3333,7849.11716237335,12633.1730421847,0.107167557241983,L6 PT,Ex,2000.1348301038472,5909.856053947511,L6a_polygon_uncut
3334,8789.84203447052,7413.1349910445915,0.151973291830264,Sst,Inh,2101.544971315922,5347.135952034607,L6b_polygon_uncut
3335,7509.25742346298,13238.162321923899,0.0575931376520186,Pvalb,Inh,1963.4979502493093,5975.073898303396,L6a_polygon_uncut
3338,15183.582292301002,10998.1206073415,0.0901971839560372,Pvalb,Inh,2790.790171110048,5733.597401471414,L2/3
