"sample_name","x","y","rmax","subclass","broad_class"
1570,12863.593996957,7693.56420623689,0.0820201757317266,"L5 PT","Ex"
1572,16700.2550358207,4037.29262722332,0.0624225970585955,"L4","Ex"
1575,5117.98025119607,12907.0195404801,0.265264025360645,"Sst","Inh"
1581,14725.1469964569,11494.704076823,0.0630245660577244,"L2/3 IT","Ex"
1584,8414.80141526545,14405.4867250402,0.131516309774236,"L5 PT","Ex"
1585,16481.4343789032,10672.1004612747,0.0809310122605459,"L2/3 IT","Ex"
1586,5474.13969251872,14462.6432827977,0.0746995353181413,"L6 PT","Ex"
1587,6449.9435374328,16347.7148711165,0.104743459729956,"L5 NP","Ex"
1590,11844.2028510684,4473.25283310037,0.0542243054734176,"L6 IT","Ex"
1593,8946.14667384535,10488.9869299108,0.177051529453233,"L6 PT","Ex"
1595,14781.7097818847,14737.0253277707,0.033540111876046,"L2/3 IT","Ex"
1596,13360.0943188896,15384.0031243578,0.0916546803217133,"L2/3 IT","Ex"
1597,11996.1224861808,5615.93178689767,0.0982321645775489,"L6 PT","Ex"
1598,6926.50090535005,16452.5352480416,0.0886200528959291,"L5 PT","Ex"
1600,1981.49959133832,11104.7666261752,0.084541233634022,"Sst","Inh"
1601,13035.5867131086,10977.2560609669,0.0552158931787767,"L4","Ex"
1606,4515.53435145567,15479.6066268196,0.0752520858328778,"L6 IT","Ex"
1607,8130.49660069298,15709.6505949186,0.0767468765381298,"L5 IT","Ex"
1609,8999.50945883069,13919.0474996976,0.0581955607201791,"L5 PT","Ex"
1610,16513.870803792,7966.9379000648,0.0877634676639462,"L2/3 IT","Ex"
1612,4868.55408764417,12763.4080092256,0.322388813137196,"Oligo","Glia"
1613,12482.844916242,3617.65362671686,0.296470720091496,"Oligo","Glia"
1614,15053.9568260038,13681.5576748866,0.139513067298791,"L2/3 IT","Ex"
1615,16085.082454931,4926.74085134884,0.0503008140977901,"Pvalb","Inh"
1617,15051.5874207531,9944.03779117287,0.0706666042099877,"Sst","Inh"
1624,10880.4167104816,13844.3233186554,0.0395912299102594,"Pvalb","Inh"
1629,17496.1900660875,7716.40932097149,0.0452166772825672,"L2/3 IT","Ex"
1630,7644.04840987827,11907.8429687592,0.0645106296809322,"L2/3 IT","Ex"
1631,9288.78082891191,14071.1937389626,0.140218055723296,"Sst","Inh"
1632,5464.87574385477,12435.9389919649,0.0600037634647897,"L6 PT","Ex"
1634,11741.1516720453,5749.06684734506,0.0795314306663943,"L6 PT","Ex"
1635,11362.7506529422,5787.79291121399,0.0470855872420839,"L6 PT","Ex"
1636,8219.73365578009,16009.0943745425,0.15384529609229,"L5 PT","Ex"
1637,10503.7481746267,6275.13568928087,0.183559596576488,"L6 PT","Ex"
1638,11463.1631312621,9321.41386780432,0.17224969096497,"L5 IT","Ex"
1639,10247.9107112944,1868.5611677836,0.0931209644012251,"L6b","Ex"
1640,11315.8444736439,6268.92895870813,0.0591783394170598,"L6 IT","Ex"
1641,7924.05282433775,4530.90373398419,0.0853634609546729,"L6 PT","Ex"
1643,8073.80502186677,11680.4182650208,0.0306854824005556,"L6 PT","Ex"
1644,14917.6055524762,14208.3147054243,0.188516797724872,"L2/3 IT","Ex"
1645,2085.67878123341,13287.1984322923,0.0742117985593238,"Sst","Inh"
1646,8410.01598656187,7614.43266840331,0.057413874621812,"L6b","Ex"
1647,6046.31212263133,13121.298872543,0.0866388053904729,"L6 PT","Ex"
1650,9780.25693996253,9095.85537276158,0.114975906976292,"L6 IT","Ex"
1652,10356.1093023791,5466.67425156271,0.132971785791629,"L6 PT","Ex"
1653,6192.22515355809,14008.2169364559,0.175562644834384,"L6 PT","Ex"
1654,9712.84212535223,6192.00193878972,0.0659771027214444,"Pvalb","Inh"
1656,1392.69057463121,14042.8352495414,0.0818767076172495,"L5 NP","Ex"
1657,12288.8354018267,10316.8731578172,0.0502719560005756,"L5 IT","Ex"
1662,8258.67984564406,19040.9200024388,0.0598175330357802,"L4","Ex"
1666,13295.6983574648,13262.2161104881,0.0758854686396956,"L4","Ex"
1667,11733.9984318685,12920.0031776312,0.0388121945933191,"L2/3 IT","Ex"
1668,11374.3635738969,15773.6603175094,0.0642002229893738,"L2/3 IT","Ex"
1669,15373.1481983912,3664.0746073652,0.112886938849619,"Sst","Inh"
1671,9683.49435026071,7192.98244181102,0.0794361885376618,"L6 PT","Ex"
1673,8232.5754275855,20913.8866826414,0.125870101912998,"L2/3 IT","Ex"
1674,6353.83570423378,19097.5406865153,0.0527528706035169,"L5 IT","Ex"
1675,14439.4387104263,9994.9255628817,0.0818901873433181,"Sst","Inh"
1677,13575.9598589779,6431.89834322495,0.0322083865873155,"L6b","Ex"
1679,6669.69690248093,10086.5131020203,0.058891890610204,"L6b","Ex"
1681,10442.8873885652,19150.5707916968,0.0778395365455852,"L2/3 IT","Ex"
1682,12175.7598131078,4449.8632971266,0.0688512521355688,"L6 PT","Ex"
1683,16725.9083694216,8747.45721182244,0.303185735723483,"Vip","Inh"
1684,2198.99335945616,13740.1039906491,0.0471954795379422,"L6b","Ex"
1685,6794.5149179162,15477.5841061921,0.064518328543668,"L6 PT","Ex"
1686,462.595063687593,15354.904707492,0.0357479571140403,"Pvalb","Inh"
1688,7447.50977174546,11406.2940084713,0.153000138768753,"L6 PT","Ex"
1692,14256.5204472068,5187.24650282096,0.111828921268508,"L5 IT","Ex"
1694,12108.8568074634,4324.61703027644,0.0507828090429509,"L6 PT","Ex"
1695,8686.79067463952,7303.63027026239,0.186932182696802,"L6b","Ex"
1696,10397.5371494646,10929.2045647366,0.0839406210189427,"L5 PT","Ex"
1697,12977.6889349302,14156.7789200714,0.0715137195790756,"L2/3 IT","Ex"
1699,4652.77258295397,15874.325017666,0.0707495299373537,"L6 PT","Ex"
1700,12128.7323905882,17385.1278247854,0.0555389801132133,"L2/3 IT","Ex"
1701,11366.9840782929,10691.127624218,0.0752618593532738,"Pvalb","Inh"
1703,1509.99258981114,14673.3080404047,0.120768892236833,"L5 PT","Ex"
1705,17094.0580253818,4748.28652188432,0.055863888319123,"L2/3 IT","Ex"
1706,10193.5205085517,5408.03170601898,0.177518041214022,"L6 IT","Ex"
1708,13756.8699857834,8237.79969335594,0.0414847891717522,"L5 IT","Ex"
1709,5766.96110445727,14619.6042627245,0.0985498683983753,"L6 PT","Ex"
1710,13921.3834781275,12256.3249038991,0.0461701738864263,"L2/3 IT","Ex"
1713,18379.3257105257,6245.29106411212,0.121446803732086,"L2/3 IT","Ex"
1715,12037.9006610774,13406.9541735978,0.0389896746176248,"L4","Ex"
1717,15633.914934895,9496.64125574112,0.0931835717495383,"L2/3 IT","Ex"
1721,8737.04261641497,10927.847284117,0.119221269277561,"L6 IT","Ex"
1725,10518.4790740476,1499.46468804831,0.062548154934009,"Sncg","Inh"
1729,12073.4716581839,14089.004615953,0.056001475722212,"L2/3 IT","Ex"
1731,8011.87649560565,12953.2900119212,0.0394814447995666,"L2/3 IT","Ex"
1733,10309.9105418323,13215.1348305778,0.0332746222693128,"L2/3 IT","Ex"
1735,8624.90040540105,16699.8297971821,0.0627692791087861,"L4","Ex"
