sample_name,x,y,rmax,subclass,broad_class,x_um,y_um,layer
201,11959.8201562415,16491.280315476102,-2.58608368300769,L2/3 IT,Ex,2443.268612842834,6325.760018008324,L2/3
204,6695.76178008641,11671.2133146703,1.76029222319278,L6 PT,Ex,1875.803119893315,5806.156795321458,L6a_polygon_uncut
207,10912.058688911899,5757.093525541489,2.88168747179152,L6 PT,Ex,2330.3199266647025,5168.614682053372,L6a_polygon_uncut
208,10582.1890848155,12529.3450051711,-2.34254985466759,L5 NP,Ex,2294.759983343111,5898.663391557445,L5_polygon_uncut
210,14393.0891901026,15028.412410613899,1.48379812854497,L2/3 IT,Ex,2705.5750146930604,6168.062857864178,L2/3
211,12825.4039460603,12912.374635557,-0.4563203232039911,L2/3 IT,Ex,2536.5785453853005,5939.953985713045,L4_polygon_uncut
212,12334.9392595801,8477.89593447182,4.4563236776582595,L5 PT,Ex,2483.706452182735,5461.917181736062,L5_polygon_uncut
218,11323.1181122056,13519.5400399429,-3.10154425863475,L6 IT,Ex,2374.6321324957635,6005.406416305845,L4_polygon_uncut
222,11976.709674952801,10973.313972260501,0.337774692761152,Pvalb,Inh,2445.089302959912,5730.9232462096825,L5_polygon_uncut
223,9170.40856076906,14509.928135933898,0.974922555239861,L5 IT,Ex,2142.5700428509044,6112.170253053674,L5_polygon_uncut
225,8167.02905628391,10845.8197578999,4.621279124362309,Pvalb,Inh,2034.4057322674057,5717.179369901609,L6a_polygon_uncut
227,17024.213470542,8273.21220655363,-0.7905029253940781,L2/3 IT,Ex,2989.210212124428,5439.852275866481,L2/3
230,14579.1902954746,14857.9071142223,3.5133223456710603,L2/3 IT,Ex,2725.636713852162,6149.682386913164,L2/3
232,13494.7273342773,12787.6990861988,-0.43944368764330605,L2/3 IT,Ex,2608.731606635093,5926.513961492231,L2/3
234,6030.36321332721,12218.465611251202,3.7481624017708395,L6 PT,Ex,1804.0731543966733,5865.15059289288,L6a_polygon_uncut
242,9747.02468443643,16360.282769078602,-0.429565486808641,L2/3 IT,Ex,2204.729260982247,6311.638482506673,L4_polygon_uncut
243,16954.778377233,10760.204916315799,4.35393427569332,L2/3 IT,Ex,2981.7251090657173,5707.950089978844,L2/3
246,11755.491185178602,11001.9783995383,4.45095683419921,L5 PT,Ex,2421.241949762253,5734.013271470229,L5_polygon_uncut
247,7338.1539964533595,12157.814102608101,2.44992818226371,L6 PT,Ex,1945.0530008176722,5858.612360261153,L6a_polygon_uncut
248,14656.7337026192,14135.604359712801,4.8332633764294295,Vip,Inh,2733.99589314235,6071.81814997704,L2/3
249,9013.96407988905,7966.752891602909,0.770792333610731,L6 PT,Ex,2125.7053278120397,5406.815961714794,L6a_polygon_uncut
251,10367.7374792384,10753.6808701378,2.61826694197936,Sst,Inh,2271.6421002618995,5707.246797800855,L5_polygon_uncut
252,14234.0377845964,12503.7835269171,0.979756228621464,L2/3 IT,Ex,2688.429273179492,5895.907864201663,L2/3
253,11702.0108819457,13910.8553668158,-1.88302690769156,L6 PT,Ex,2415.4767730737467,6047.590208542743,L4_polygon_uncut
254,12887.276990106899,8378.36630468487,2.9131824866265803,L5 PT,Ex,2543.2484595335236,5451.187887645029,L5_polygon_uncut
260,12344.523314687,15037.4864966715,-1.3505242494835201,L2/3 IT,Ex,2484.7396133232587,6169.041044341187,L2/3
262,13484.322312311699,14528.6050644227,-0.504530682470073,L2/3 IT,Ex,2607.6099452672015,6114.183625944767,L2/3
264,14417.103573997,10346.2302412024,3.0752629232622404,L4,Ex,2708.163765276877,5663.323620001619,L4_polygon_uncut
267,14633.5449901165,13574.545532676899,-0.241731721561705,Sst,Inh,2731.4961499345586,6011.33600842257,L2/3
